Model Name,URL,Price
LG 108cm (43 inch) Ultra HD (4K) LED Smart TV,/lg-108cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmf7yraubnjgyzg?pid=TVSF7YRA5MZ96AC3&srno=s_2_45&otracker=search&otracker1=search&lid=LSTTVSF7YRA5MZ96AC3UYD2BL&fm=organic&iid=acda2953-33d3-4acb-9abd-820db0001c3d.TVSF7YRA5MZ96AC3.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹47,499"
LG 123cm (49 inch) Full HD LED TV,/lg-123cm-49-inch-full-hd-led-tv/p/itmeurncg9txumtm?pid=TVSEURNC7QB3GZHX&srno=s_2_46&otracker=search&otracker1=search&lid=LSTTVSEURNC7QB3GZHXKWYZQB&fm=organic&iid=53572602-a332-443c-944e-5f78a829b924.TVSEURNC7QB3GZHX.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹44,999"
LG 123cm (49 inch) Full HD LED Smart TV,/lg-123cm-49-inch-full-hd-led-smart-tv/p/itmeurncmn7a9hez?pid=TVSEURNCC6HGZYGG&srno=s_2_47&otracker=search&otracker1=search&lid=LSTTVSEURNCC6HGZYGG9YADHG&fm=organic&iid=bc0a8e09-de43-4b7f-b8da-894f1c652ecd.TVSEURNCC6HGZYGG.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹49,999"
LG Led 70cm (28 inch) HD Ready LED TV,/lg-led-70cm-28-inch-hd-ready-tv/p/itmejnn8gfvmesyr?pid=TVSEJNN8WYRZF2MY&srno=s_2_48&otracker=search&otracker1=search&lid=LSTTVSEJNN8WYRZF2MYV6JDUA&fm=organic&iid=6967828f-bfe4-47c6-9b88-13ce3ed204b3.TVSEJNN8WYRZF2MY.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹13,999"
LG 164cm (65 inch) Ultra HD (4K) OLED Smart TV,/lg-164cm-65-inch-ultra-hd-4k-oled-smart-tv/p/itmf6hfjhvfhmfda?pid=TVSF6HFJVNXDMSSY&srno=s_3_49&otracker=search&otracker1=search&lid=LSTTVSF6HFJVNXDMSSYJAAZOQ&fm=organic&iid=868d6cb0-9c3b-4bb9-8792-147df6281572.TVSF6HFJVNXDMSSY.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹3,49,999"
LG LJ523D 80cm (32 inch) HD Ready LED TV,/lg-lj523d-80cm-32-inch-hd-ready-led-tv/p/itmeurm8jngbx8ju?pid=TVSEURM8FHVHQTU3&srno=s_3_50&otracker=search&otracker1=search&lid=LSTTVSEURM8FHVHQTU3CHQNYD&fm=organic&iid=4212580c-7960-429a-a76c-c682f66589b9.TVSEURM8FHVHQTU3.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹20,500"
LG 164cm (65 inch) Ultra HD (4K) OLED Smart TV,/lg-164cm-65-inch-ultra-hd-4k-oled-smart-tv/p/itmf6efdugzhaqq8?pid=TVSF6EFDDVHQ2TUJ&srno=s_3_51&otracker=search&otracker1=search&lid=LSTTVSF6EFDDVHQ2TUJP8MXZY&fm=organic&iid=afab5df0-2d7f-4210-b414-368a8e40a2f8.TVSF6EFDDVHQ2TUJ.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹2,49,999"
LG 139cm (55 inch) Ultra HD (4K) LED Smart TV 2019 Edition with Nanocell,/lg-139cm-55-inch-ultra-hd-4k-led-smart-tv-2019-nanocell/p/itmfhbvzyeanby8d?pid=TVSFHBVZG5663JTD&srno=s_3_52&otracker=search&otracker1=search&lid=LSTTVSFHBVZG5663JTD1HPWD3&fm=organic&iid=1f5cc3fd-5e5f-427f-9452-7a33da149fe4.TVSFHBVZG5663JTD.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹97,011"
LG LH576T 108cm (43 inch) Full HD LED Smart TV,/lg-lh576t-108cm-43-inch-full-hd-led-smart-tv/p/itmejnn8cqpaywsz?pid=TVSEJNN8HHQK6KXZ&srno=s_3_53&otracker=search&otracker1=search&lid=LSTTVSEJNN8HHQK6KXZ5ZN7MK&fm=organic&iid=96cade6e-b6f7-43be-9dab-db2814aa9c92.TVSEJNN8HHQK6KXZ.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹36,000"
LG Led 80cm (32 inch) HD Ready LED TV,/lg-led-80cm-32-inch-hd-ready-tv/p/itmeurnc5e8raghd?pid=TVSEURNC2QFZHEV6&srno=s_3_54&otracker=search&otracker1=search&lid=LSTTVSEURNC2QFZHEV6BC9PNU&fm=organic&iid=99e13adf-1820-4f95-b5c2-6b0a43c92e73.TVSEURNC2QFZHEV6.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹18,500"
